Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,27.350000,29.500000,27.150000,29.350000,29.350000,46588568
2020-09-28,29.500000,30.600000,29.299999,30.400000,30.400000,33387671
2020-09-29,30.750000,30.750000,29.600000,30.049999,30.049999,30160389
2020-09-30,30.150000,30.350000,29.650000,29.950001,29.950001,36572003
2020-10-01,30.049999,30.700001,30.000000,30.350000,30.350000,55354651
2020-10-05,30.700001,31.150000,30.000000,30.200001,30.200001,52168543
2020-10-06,30.500000,31.450001,30.400000,31.150000,31.150000,35098612
2020-10-07,31.100000,31.700001,30.650000,31.600000,31.600000,31940845
2020-10-08,31.750000,31.950001,31.200001,31.500000,31.500000,23377130
2020-10-09,31.450001,32.150002,31.000000,31.950001,31.950001,33136771
2020-10-12,31.950001,32.250000,31.000000,31.150000,31.150000,20609967
2020-10-13,31.049999,31.500000,30.600000,31.400000,31.400000,17105611
2020-10-14,31.250000,31.400000,30.400000,31.250000,31.250000,19779809
2020-10-15,31.100000,31.600000,29.750000,30.049999,30.049999,21897848
2020-10-16,30.250000,30.850000,29.900000,30.700001,30.700001,23681817
2020-10-19,30.700001,31.850000,30.600000,31.750000,31.750000,29057276
2020-10-20,31.299999,31.750000,31.200001,31.600000,31.600000,16824177
2020-10-21,31.700001,32.099998,30.700001,31.250000,31.250000,22921369
2020-10-22,31.000000,32.000000,30.750000,31.750000,31.750000,22481053
2020-10-23,31.750000,31.950001,31.299999,31.450001,31.450001,13830910
2020-10-26,31.450001,31.600000,30.250000,30.600000,30.600000,23749633
2020-10-27,30.549999,31.500000,29.799999,31.100000,31.100000,23696995
2020-10-28,31.250000,31.700001,30.650000,30.900000,30.900000,19971537
2020-10-29,30.549999,30.750000,30.000000,30.549999,30.549999,25030914
2020-10-30,30.549999,31.299999,30.250000,30.600000,30.600000,21091250
2020-11-02,31.100000,31.100000,29.900000,30.250000,30.250000,30651843
2020-11-03,30.500000,30.700001,30.100000,30.500000,30.500000,22004786
